,level_0,index,open,close,high,low,volume,money,datetime,date,MACD,MACDsignal,MACDhist,RSI5,RSI12,RSI30,SAR,slowk,slowd,upper,middle,lower,MOM,rsv,reseau,thh_sale,thh_buy,opt_result,money_total,stk_amount,total_earn
0,0,2019-01-02 09:35:00,5.08,5.06,5.08,5.05,6315762.0,31979264.0,2019-01-02 09:35:00,2019-01-02,,,,,,,,,,,,,,,,,,,,,
1,1,2019-01-02 09:40:00,5.06,5.05,5.06,5.05,3169104.0,16006968.0,2019-01-02 09:40:00,2019-01-02,,,,,,,5.06,,,,,,,,,,,,,,
2,2,2019-01-02 09:45:00,5.04,5.02,5.05,5.01,6305323.0,31741240.0,2019-01-02 09:45:00,2019-01-02,,,,,,,5.06,,,,,,,,,,,,,,
3,3,2019-01-02 09:50:00,5.01,5.01,5.02,4.98,8490444.0,42449960.0,2019-01-02 09:50:00,2019-01-02,,,,,,,5.06,,,,,,,,,,,,,,
4,4,2019-01-02 09:55:00,5.01,4.97,5.01,4.97,7697516.0,38392728.0,2019-01-02 09:55:00,2019-01-02,,,,,,,5.05,,,,,,,,,,,,,,
5,5,2019-01-02 10:00:00,4.97,4.97,4.98,4.95,6156760.0,30590576.0,2019-01-02 10:00:00,2019-01-02,,,,0.0,,,5.034,,,,,,-0.08999999999999986,,,,,,,,
6,6,2019-01-02 10:05:00,4.97,4.98,4.98,4.96,3351494.0,16653712.0,2019-01-02 10:05:00,2019-01-02,,,,12.195121951220251,,,5.0172,,,,,,-0.0699999999999994,,,,,,,,
7,7,2019-01-02 10:10:00,4.98,4.98,4.99,4.97,2508556.0,12483856.0,2019-01-02 10:10:00,2019-01-02,,,,12.19512195122025,,,5.00376,,,,,,-0.03999999999999915,,,,,,,,
8,8,2019-01-02 10:15:00,4.98,4.97,4.98,4.96,1884967.0,9372304.0,2019-01-02 10:15:00,2019-01-02,,,,10.243277848912172,,,4.993008,,,,,,-0.040000000000000036,,,,,,,,
9,9,2019-01-02 10:20:00,4.97,4.99,4.99,4.97,2961555.0,14751600.0,2019-01-02 10:20:00,2019-01-02,,,,35.89391860996849,,,4.95,,,,,,0.020000000000000462,,,,,,,,
10,10,2019-01-02 10:25:00,4.98,4.99,4.99,4.98,1925579.0,9604320.0,2019-01-02 10:25:00,2019-01-02,,,,35.89391860996848,,,4.952,,,,,,0.020000000000000462,,,,,,,,
11,11,2019-01-02 10:30:00,4.98,4.97,5.0,4.97,4589173.0,22879776.0,2019-01-02 10:30:00,2019-01-02,,,,24.813797735938824,,,4.9539,,,,,,-0.010000000000000675,,,,,,,,
12,12,2019-01-02 10:35:00,4.98,4.97,4.98,4.97,1458070.0,7254976.0,2019-01-02 10:35:00,2019-01-02,,,,24.813797735938824,20.000000000000473,,4.95851,33.96825396825374,33.176453176453116,,,,-0.010000000000000675,,,,,,,,
13,13,2019-01-02 10:40:00,4.98,4.96,4.98,4.96,2034366.0,10110848.0,2019-01-02 10:40:00,2019-01-02,,,,19.992349663171698,18.644067796610656,,5.0,27.301587301586903,32.08273208273188,,,,-0.009999999999999787,,,,,,,,
