,level_0,index,open,close,high,low,volume,money,datetime,date,MACD,MACDsignal,MACDhist,RSI5,RSI12,RSI30,SAR,slowk,slowd,upper,middle,lower,MOM,opt,last_p,sar_diff_day
11,11,2019-06-26 14:45:00,13.41,13.39,13.41,13.39,778000.0,10425908.0,2019-06-26 14:45:00,2019-06-26,-0.0007412902665500098,-0.0025089856970711283,0.0017676954305211184,56.41527813860681,52.76413312137469,53.015148510489794,13.34,71.42857142857214,57.14285714285734,13.407771120461748,13.38444731289475,13.361123505327752,0.009999999999999787,0.0,13.36,-0.059284850000000944
12,12,2019-06-26 14:50:00,13.38,13.4,13.41,13.38,1074200.0,14389326.0,2019-06-26 14:50:00,2019-06-26,0.0006479762384223875,-0.0018775933099724252,0.0025255695483948127,63.80293673817261,55.406611115146234,53.81472455032845,13.3435,80.95238095238142,70.37037037037082,13.411271379075481,13.387947571508484,13.364623763941486,0.030000000000001137,0.0,13.36,-0.059284850000000944
13,13,2019-06-26 14:55:00,13.39,13.36,13.4,13.32,1481500.0,19805300.0,2019-06-26 14:55:00,2019-06-26,-0.0014618346336181531,-0.0017944415747015708,0.0003326069410834176,34.53463902879162,44.535088750938115,50.27448391754392,13.41,67.19576719576726,73.19223985890694,13.417035421825405,13.387102162744313,13.35716890366322,-0.009999999999999787,0.0,13.36,-0.059284850000000944
14,14,2019-06-26 15:00:00,13.36,13.37,13.38,13.35,703100.0,9397824.0,2019-06-26 15:00:00,2019-06-26,-0.002300440477711163,-0.0018956413553034893,-0.0004047991224076738,42.742652187628686,47.352406737444525,51.10633863990611,13.41,61.90476190476136,70.01763668430335,13.416361737792496,13.383865584185237,13.351369430577979,-0.010000000000001563,0.0,13.36,-0.059284850000000944
15,15,2019-06-27 09:35:00,13.5,13.53,13.58,13.48,4759500.0,64334744.0,2019-06-27 09:35:00,2019-06-27,0.009832280760992518,0.0004499430679557122,0.009382337693036806,83.67615566991013,72.09387969243377,61.708870839104904,13.32,60.2564102564095,63.118979785646054,13.521878647664213,13.39859036760786,13.275302087551506,0.129999999999999,0.0,13.36,0.13000000000000078
16,16,2019-06-27 09:40:00,13.53,13.63,13.64,13.53,5127600.0,69695224.0,2019-06-27 09:40:00,2019-06-27,0.02720313323278667,0.005800581100921904,0.021402552131864767,89.52605168848854,78.86567696546484,66.41729888794167,13.333,77.73326210826167,66.63147808981086,13.648700895230819,13.438025789916132,13.227350684601445,0.2400000000000002,-1.0,13.36,0.13000000000000078
17,17,2019-06-27 09:45:00,13.63,13.73,13.73,13.62,5525200.0,75578736.0,2019-06-27 09:45:00,2019-06-27,0.04847997624364808,0.01433646012946714,0.03414351611418094,92.76639231635002,83.2893771444844,70.20707972996262,13.3637,92.54807692307685,76.84591642924936,13.78992192758722,13.501034406224193,13.212146884861166,0.33000000000000007,-1.0,13.36,0.13000000000000078
18,18,2019-06-27 09:50:00,13.73,13.72,13.75,13.68,2708500.0,37146064.0,2019-06-27 09:50:00,2019-06-27,0.06379966833200257,0.024229101769974226,0.03957056656202834,89.31254819419814,81.42998806770403,69.39693609322329,13.418645,96.63275193798457,88.97136365644104,13.838296222176837,13.570087348350171,13.301878474523505,0.3600000000000012,-1.0,13.36,0.13000000000000078
19,19,2019-06-27 09:55:00,13.72,13.7,13.72,13.66,2679100.0,36685360.0,2019-06-27 09:55:00,2019-06-27,0.07347977275071926,0.034079235966123236,0.03940053678459603,81.70730732775182,77.64792246424001,67.7787519671563,13.484916,93.79844961240309,94.32642615782152,13.779078228043524,13.629732990424415,13.480387752805306,0.33000000000000007,-1.0,13.36,0.13000000000000078
20,20,2019-06-27 10:00:00,13.69,13.72,13.73,13.69,2088300.0,28637664.0,2019-06-27 10:00:00,2019-06-27,0.08182196541209663,0.04362778185531792,0.03819418355677871,83.46709282071099,78.72584031082198,68.53768178459599,13.5379328,91.47286821705431,93.968023255814,13.749353416615183,13.676689808120173,13.604026199625164,0.19000000000000128,-1.0,13.36,0.13000000000000078
