,level_0,index,open,close,high,low,volume,money,datetime,date,MACD,MACDsignal,MACDhist,RSI5,RSI12,RSI30,SAR,slowk,slowd,upper,middle,lower,MOM,rsv,reseau,thh_sale,thh_buy,opt_result,money_total,stk_amount,total_earn
0,0,2019-01-02 15:00:00,20.72,21.73,22.31,20.72,6151272.0,133074384.0,2019-01-02 15:00:00,2019-01-02,,,,,,,,,,,,,,,,,,,,,
1,1,2019-01-03 15:00:00,21.28,20.23,21.51,19.87,3990270.0,82061360.0,2019-01-03 15:00:00,2019-01-03,,,,,,,22.31,,,,,,,,,,,,,,
2,2,2019-01-04 15:00:00,20.15,20.13,20.82,19.1,2803377.0,56142096.0,2019-01-04 15:00:00,2019-01-04,,,,,,,22.188,,,,,,,,,,,,,,
3,3,2019-01-07 15:00:00,20.07,20.55,20.82,20.07,2502763.0,51377296.0,2019-01-07 15:00:00,2019-01-07,,,,,,,21.879199999999997,,,,,,,,,,,,,,
4,4,2019-01-08 15:00:00,20.33,20.24,20.71,20.0,1782573.0,36295792.0,2019-01-08 15:00:00,2019-01-08,,,,,,,21.60128,,,,,,,,,,,,,,
5,5,2019-01-09 15:00:00,20.55,20.25,20.76,20.09,2042606.0,41838216.0,2019-01-09 15:00:00,2019-01-09,,,,18.37606837606846,,,21.351152,,,,,,-1.4800000000000004,,,,,,,,
6,6,2019-01-10 15:00:00,20.17,21.21,21.61,20.12,7966462.0,166744304.0,2019-01-10 15:00:00,2019-01-10,,,,46.04519774011301,,,19.1,,,,,,0.9800000000000004,,,,,,,,
7,7,2019-01-11 15:00:00,21.06,22.63,22.83,20.97,13244811.0,291816224.0,2019-01-11 15:00:00,2019-01-11,,,,66.8330800955068,,,19.2255,,,,,,2.5,,,,,,,,
8,8,2019-01-14 15:00:00,22.27,21.76,22.3,20.88,7573239.0,25010.5,2019-01-14 15:00:00,2019-01-14,,,,51.60587458884166,,,19.58595,,,,,,1.2100000000000009,0.6941391941391942,0.8584234387994778,1.1917307080769308,0.5251161695220248,no-opt,50034.5,1150.0,0.0
9,9,2019-01-15 15:00:00,21.31,23.09,23.63,21.04,11865429.0,25010.5,2019-01-15 15:00:00,2019-01-15,,,,66.2848614663801,,,19.910355,,,,,,2.8500000000000014,0.7692307692307704,1.0268170557259335,1.5797185472706694,0.47391556418119773,no-opt,51564.0,1150.0,0.0
10,10,2019-01-16 15:00:00,22.52,23.2,24.03,21.96,11487296.0,25010.5,2019-01-16 15:00:00,2019-01-16,,,,67.30996991785567,,,20.46830175,,,,,,2.9499999999999993,0.7340025094102889,1.1286132561182742,1.6568099242890608,0.6004165879474878,no-opt,51690.5,1150.0,0.0
11,11,2019-01-17 15:00:00,22.85,23.84,24.43,22.42,13173142.0,29778.5,2019-01-17 15:00:00,2019-01-17,,,,73.22962745125025,,,21.04,,,,,,2.629999999999999,0.6900369003690051,1.113304328824916,1.5364421364594814,0.6901665211903507,sale,52426.5,950.0,0.0
12,12,2019-01-18 15:00:00,23.7,25.28,26.2,23.69,18884580.0,29778.5,2019-01-18 15:00:00,2019-01-18,,,,82.26305564727294,69.48408342480789,,21.718,85.00243536701372,83.94335948910494,,,,2.650000000000002,0.6953781512605044,1.3340953916408629,1.8554015740887635,0.8127892091929622,no-opt,53794.5,950.0,0.0
13,13,2019-01-21 15:00:00,25.32,25.89,27.31,24.92,18886090.0,34956.5,2019-01-21 15:00:00,2019-01-21,,,,84.95185557823073,71.56142471868316,,22.42,84.05847195683354,85.01202310540866,,,,4.129999999999999,0.5974440894568687,1.5877598099095591,1.8971954278152547,1.2783241920038635,sale,54374.0,750.0,0.0
14,14,2019-01-22 15:00:00,25.83,24.08,25.83,23.65,11380291.0,30140.5,2019-01-22 15:00:00,2019-01-22,,,,54.37748365736091,58.639944023776025,,23.398,73.52339847566925,80.86143526650551,,,,0.9899999999999984,0.5052631578947365,1.3811055147101081,1.3956434674965295,1.3665675619236868,buy,53016.5,950.0,0.0
15,15,2019-01-23 15:00:00,23.65,24.49,25.1,22.87,12675118.0,30140.5,2019-01-23 15:00:00,2019-01-23,,,,58.59672761727245,60.40659204842447,,27.31,63.85066147337824,73.81084396862701,,,,1.2899999999999991,0.5138461538461528,1.309390209746941,1.3456502463245459,1.273130173169336,no-opt,53406.0,950.0,0.0
